,,,0
2012,bias_turn_1m,ICIR,-1.019980491646332
2012,bias_turn_1m,IC>0概率,0.16666666666666666
2012,bias_turn_3m,t值绝对值平均值,3.9932961643012974
2012,bias_turn_3m,t值绝对值>2概率,0.6666666666666666
2012,bias_turn_3m,因子收益平均值,-0.004618546100976965
2012,bias_turn_3m,因子收益标准差,0.005637894557421114
2012,bias_turn_3m,因子收益t值,-2.71696895674229
2012,bias_turn_3m,因子收益>0概率,0.16666666666666666
2012,bias_turn_3m,IC平均值,-0.061136888748353324
2012,bias_turn_3m,IC标准差,0.07781208431452498
2012,bias_turn_3m,ICIR,-0.7856991531190877
2012,bias_turn_3m,IC>0概率,0.16666666666666666
2012,bias_turn_6m,t值绝对值平均值,3.788595845715023
2012,bias_turn_6m,t值绝对值>2概率,0.75
2012,bias_turn_6m,因子收益平均值,-0.0033252341673174683
2012,bias_turn_6m,因子收益标准差,0.006833965368044309
2012,bias_turn_6m,因子收益t值,-1.6137854787253594
2012,bias_turn_6m,因子收益>0概率,0.25
2012,bias_turn_6m,IC平均值,-0.045058165134629465
2012,bias_turn_6m,IC标准差,0.09025027612923363
2012,bias_turn_6m,ICIR,-0.49925791994374125
2012,bias_turn_6m,IC>0概率,0.25
2012,exp_wgt_return_12m,t值绝对值平均值,4.347060176634304
2012,exp_wgt_return_12m,t值绝对值>2概率,0.9166666666666666
2012,exp_wgt_return_12m,因子收益平均值,-0.0082556579653522
2012,exp_wgt_return_12m,因子收益标准差,0.003279556325819757
2012,exp_wgt_return_12m,因子收益t值,-8.3489707595548
2012,exp_wgt_return_12m,因子收益>0概率,0.0
2012,exp_wgt_return_12m,IC平均值,-0.08713568442635655
2012,exp_wgt_return_12m,IC标准差,0.03790170400280812
2012,exp_wgt_return_12m,ICIR,-2.298991212107527
2012,exp_wgt_return_12m,IC>0概率,0.0
2012,exp_wgt_return_1m,t值绝对值平均值,3.516311208544733
2012,exp_wgt_return_1m,t值绝对值>2概率,0.75
2012,exp_wgt_return_1m,因子收益平均值,-0.004083154066534654
2012,exp_wgt_return_1m,因子收益标准差,0.00751746085453292
2012,exp_wgt_return_1m,因子收益t值,-1.8014446981447851
2012,exp_wgt_return_1m,因子收益>0概率,0.16666666666666666
2012,exp_wgt_return_1m,IC平均值,-0.05145394248851534
2012,exp_wgt_return_1m,IC标准差,0.08312187156453305
2012,exp_wgt_return_1m,ICIR,-0.6190180937945823
2012,exp_wgt_return_1m,IC>0概率,0.16666666666666666
2012,exp_wgt_return_3m,t值绝对值平均值,3.936121771962661
2012,exp_wgt_return_3m,t值绝对值>2概率,0.75
2012,exp_wgt_return_3m,因子收益平均值,-0.0068736617118217895
2012,exp_wgt_return_3m,因子收益标准差,0.006616307195042445
2012,exp_wgt_return_3m,因子收益t值,-3.4456315527529906
2012,exp_wgt_return_3m,因子收益>0概率,0.08333333333333333
2012,exp_wgt_return_3m,IC平均值,-0.0813750047404581
2012,exp_wgt_return_3m,IC标准差,0.07183194838081151
2012,exp_wgt_return_3m,ICIR,-1.1328525339317654
2012,exp_wgt_return_3m,IC>0概率,0.08333333333333333
2012,exp_wgt_return_6m,t值绝对值平均值,4.337868809858549
2012,exp_wgt_return_6m,t值绝对值>2概率,0.8333333333333334
2012,exp_wgt_return_6m,因子收益平均值,-0.008287177750670114
2012,exp_wgt_return_6m,因子收益标准差,0.0052725121276683395
2012,exp_wgt_return_6m,因子收益t值,-5.21297220460052
2012,exp_wgt_return_6m,因子收益>0概率,0.0
2012,exp_wgt_return_6m,IC平均值,-0.08996310815997062
2012,exp_wgt_return_6m,IC标准差,0.058913601118632385
2012,exp_wgt_return_6m,ICIR,-1.5270346142788804
2012,exp_wgt_return_6m,IC>0概率,0.0
2012,ln_capital,t值绝对值平均值,2.7099148650544453
2012,ln_capital,t值绝对值>2概率,0.5833333333333334
2012,ln_capital,因子收益平均值,5.730186835607617e-05
2012,ln_capital,因子收益标准差,0.0022304623945021474
2012,ln_capital,因子收益t值,0.0852060082213867
2012,ln_capital,因子收益>0概率,0.4166666666666667
2012,ln_capital,IC平均值,-0.003717509706568884
2012,ln_capital,IC标准差,0.02792698705547701
2012,ln_capital,ICIR,-0.13311531599108936
2012,ln_capital,IC>0概率,0.4166666666666667
2012,std_12m,t值绝对值平均值,5.324422572327307
2012,std_12m,t值绝对值>2概率,0.75
2012,std_12m,因子收益平均值,-0.003342599858981715
2012,std_12m,因子收益标准差,0.010991188497956881
2012,std_12m,因子收益t值,-1.0086397443368378
2012,std_12m,因子收益>0概率,0.3333333333333333
2012,std_12m,IC平均值,-0.04428767280501794
2012,std_12m,IC标准差,0.11349558099407682
2012,std_12m,ICIR,-0.3902149530150364
2012,std_12m,IC>0概率,0.16666666666666666
2012,std_1m,t值绝对值平均值,4.980786514214036
2012,std_1m,t值绝对值>2概率,0.75
2012,std_1m,因子收益平均值,-0.002961913709447707
2012,std_1m,因子收益标准差,0.009340304708426995
2012,std_1m,因子收益t值,-1.0517383257084527
2012,std_1m,因子收益>0概率,0.16666666666666666
2012,std_1m,IC平均值,-0.04636098428453423
2012,std_1m,IC标准差,0.10672542174355762
2012,std_1m,ICIR,-0.43439495039833625
2012,std_1m,IC>0概率,0.16666666666666666
2012,std_3m,t值绝对值平均值,5.4306740089692225
2012,std_3m,t值绝对值>2概率,0.75
2012,std_3m,因子收益平均值,-0.0030960745690842167
2012,std_3m,因子收益标准差,0.010443905943189339
2012,std_3m,因子收益t值,-0.9832066397830702
2012,std_3m,因子收益>0概率,0.16666666666666666
