,DEA,DIF,DTOA_barra,LNCAP_barra,MACD,MIDCAP_barra,PSY,ROA_ttm,RSI,RSTR_barra,SP,STOA_barra,STOM_barra,STOQ_barra,bias_turn_12m,bias_turn_1m,bias_turn_3m,bias_turn_6m,exp_wgt_return_12m,exp_wgt_return_1m,exp_wgt_return_3m,exp_wgt_return_6m,ln_capital,std_12m,std_1m,std_3m,std_6m,turn_12m,turn_1m,turn_3m,turn_6m,wgt_return_12m,wgt_return_1m,wgt_return_3m,wgt_return_6m
2012-11-30,-10.278583833965152,-10.772989772531126,0.5133210422557447,6.310374706279094,-7.287752803520543,-0.26530533388735605,-3.608338488666714,6.170998162792307,-6.626530267798479,-7.95679257790284,0.26301654909803807,10.481488165925654,11.305959974077519,12.12474938422337,7.513497705650624,2.5977446536529896,4.351352438746128,7.28434458493612,-5.830777823160281,-11.119551620209183,-11.478645574526425,-10.04214644471462,6.310374706279094,12.270447309882579,9.323124423955221,11.355897614511678,12.667537452282849,9.678156415835,9.224258921296956,9.70636550834028,10.326362006841036,1.8093714281398248,-7.715285549580108,-4.407084761256539,-3.4890238710682726
2012-12-31,-1.7401008844321462,2.2241523277095574,1.3246858476570897,4.734494669167384,5.147143760933842,-7.162338494296807,3.230823866151922,-0.05381111205060371,-0.5559032603998617,0.17929305247945582,-3.2728366706530068,-0.11026382921588614,-3.03477150742694,-1.4801706161852655,1.759758405329007,-3.2989009486601404,-0.9320780574811309,-0.06838577235385987,-4.69631454964776,-2.676822757472593,-4.580115733993419,-4.59069380855417,4.734494669167384,-1.235890282764856,-3.526449130023876,-1.750638367230312,-1.8195801953807325,-3.0636211868934846,-6.148793876960822,-4.125415621952261,-3.609502885888793,-0.8309399757154854,-5.093190302504026,-3.4686536068825187,-1.4372273925661847
2013-01-31,4.014058953737976,2.7231110075797726,-2.3544186815814325,-1.1400628115456262,-0.9059120420168556,-2.41239311942213,0.24003875716528497,3.7247108473461883,-0.8822857834515464,5.472585049587254,-4.713869134073494,0.9110803533194947,-0.1929687866574403,0.78460790633251,-0.0801367679427787,-0.7048052622588806,0.08916246646908411,1.0141661596666987,0.7288918342960387,-1.5246308032632963,0.19235006810410293,0.8407258838849612,-1.1400628115456262,0.9421094979732646,4.6784193643254985,3.42628079854085,2.152374746485313,0.07887400137781474,0.048969140107955174,0.43909206126542605,0.5629843399782095,0.5447491540917865,1.0588178893934377,0.3816172801450865,1.2313637817971728
2013-02-28,1.6570434059957961,3.120667350908775,0.34439449347968065,-1.283121110370507,3.04683645761718,0.23781649024254176,0.46123414041850236,1.4664117240625054,-0.2947825520134959,6.584270329744286,-3.5107884169172565,-4.896291692801112,-8.561254503327431,-8.221809631363037,-2.197656764274478,-6.820273535443223,-7.245945959156712,-4.501828325010372,-5.953191446869396,-3.2454089762315648,-4.212785879405026,-5.789438926846119,-1.283121110370507,-4.881839529378776,-5.140202430340392,-7.887958080023601,-6.421478130647825,-3.420001853662699,-7.774806609719814,-7.319650656507171,-5.098460686166573,-2.2280186752016693,-3.2594221216703296,-7.402320086552294,-6.6490842717246
2013-03-29,1.1874063363952394,1.3250280995032362,-2.8786933307069194,0.340644797671268,-1.706706288226347,0.27772556731132875,2.0391393143081804,3.0397698428345947,1.1423235919658106,4.9914541442418745,-2.823523484889406,0.37792946895806473,-1.6235850506664915,-0.9177817462503162,-2.759289458583593,-4.192898664765464,-4.218144351822697,-3.6931752345033724,-1.4765306896823371,-0.07128754588892053,-2.335935130225621,-2.309296971633503,0.340644797671268,-0.6578031999842361,-0.21749117825266856,0.28977049889931594,-0.6192032530819083,0.6572499051662614,-2.193873329822255,-1.583723603834934,-0.9873418937065369,-0.061181625211526855,-2.461465082153758,-0.7394109775500685,-0.39375408875140555
2013-04-26,-2.7706198473877497,-2.4557341350083277,-2.5041212165460145,-2.23087211444504,-2.1525084108579837,-4.660749341365495,-0.14510945741826053,-0.08929590380374844,-1.7911105212592258,-0.5242535608093412,-4.844732527723174,3.9187057401344654,3.0237754581358973,4.9846088499084,2.758592280049763,0.8749856136435544,3.5625604479604127,3.4313816647278528,3.200672981168257,-3.139813561414511,-2.2791934334479853,0.9620384203452212,-2.23087211444504,5.325633335652848,1.9741277042459313,5.109958633175674,5.939986135134896,2.5995206826583517,2.330410450905575,4.452189694425017,3.640081066335486,3.504102587034478,-2.9022616512424206,3.0725344615165606,4.505056328840555
2013-05-31,7.4529655674563315,5.281870023186095,-5.511280484261697,-4.507550281168247,-5.823734840176428,4.964099890585451,-0.9175064966131994,8.055733841425253,2.619566307664673,9.917278377722777,-6.279347531207832,-1.0538946284162698,-0.4217949084767715,-2.1215187092590466,-4.533770799958376,-1.6893171507101528,-4.230075323997139,-5.47206415782561,2.712454484694787,-1.2421227429999255,1.8379223696340312,2.8321321486741278,-4.507550281168247,-1.854887246047821,6.265629014422778,0.7463946628321857,-1.8914990845049546,1.5249167010212128,2.1523979737819516,0.6095762453550647,0.17632209261992038,1.9957042452540592,2.8482484572067897,4.01280961925478,1.6533127416473352
2013-06-28,-3.760078028400688,-3.560690534693233,-3.0570319621743813,-1.2630016391778154,-1.2290842823892834,2.919910737136409,-0.8294153699937774,2.081231632396225,-3.1614764324100313,-1.2306524723940941,-0.31336711317935956,-0.43427192341080684,-0.9080517011625604,0.4117070983177245,1.4688844193103823,-0.8598637844416377,1.2262745221654234,1.8795575395594388,-0.8219659560504896,-3.6373560861458434,-3.619436251458648,-1.9929161825107715,-1.2630016391778154,-1.3107310827338319,-2.951591934077384,-0.8651885806298928,-0.050297053193187724,1.2159133831805373,-0.19032608171233312,1.072233902575233,1.4591169138436715,-0.3365396291950205,-4.645312791842758,-0.6828674968323782,0.5864690571297626
2013-07-31,-8.397208603476859,-8.523994394537503,3.265332526937007,1.4829915572243624,-0.10203967103207262,-0.9788507482201153,-0.4309103594785366,-3.40917217910119,-5.397610784028407,-9.892294334127836,8.051453938769695,-6.617644956193493,-8.027434068938685,-7.830487730473267,-0.1105723820101749,-3.7125259091336886,-3.0562472603029636,-1.1671277657692725,-8.634695365045957,-5.7458279254817315,-7.477253601609633,-8.404501853612302,1.4829915572243624,-5.400180443676089,-5.372941298368122,-7.32701257567908,-6.43788014193836,-6.95219813124656,-8.927952773593766,-8.830474156964055,-7.872292480764317,-6.977407291824098,-7.411970274235372,-8.24940121313095,-7.626240161752303
2013-08-30,2.5552392461100926,1.0217158851623178,-3.152778983058735,1.8736936402446982,-1.326856844293111,-0.1521331709514676,-1.0789873720749825,0.535471024032827,0.17216639230176206,3.6917445444971495,-0.7979741566751606,-1.5582933119335942,-0.42967110855430696,-0.17380959541218757,-0.23849410880716226,2.2473141641119727,2.3865139484393536,2.202456845189733,0.4211577624791495,-1.6359429339456608,-1.9450023755156456,-0.39214378314695686,1.8736936402446982,-0.9232086353635514,2.245308568917398,2.4041542568576153,0.8085752756765971,-0.49927730452983904,0.43283564759532916,0.9195679738739634,0.8712184188071103,0.9257392594708926,-2.51808874937066,0.6776625740119504,1.5627936988492175
