,BETA_barra,BIAS,BLEV_barra,BP,BTOP_barra,CETOP_barra,CMRA_barra,DASTD_barra,DEA,DIF,DP,DTOA_barra,EP,EPcut,ETOP_barra,G/PE,HALPHA_barra,HAlpha,HSIGMA_barra,LNCAP_barra,MACD,MIDCAP_barra,MLEV_barra,NCFP,OCFP,OCF_G_q,PSY,Profit_G_q,ROA_q,ROA_ttm,ROE_G_q,ROE_q,ROE_ttm,RSI,RSTR_barra,SP,STOA_barra,STOM_barra,STOQ_barra,Sales_G_q,assetturnover_ttm,beta,bias_turn_12m,bias_turn_1m,bias_turn_3m,bias_turn_6m,cashratio,currentratio,debtequityratio,exp_wgt_return_12m,exp_wgt_return_1m,exp_wgt_return_3m,exp_wgt_return_6m,financial_leverage,grossprofitmargin_q,grossprofitmargin_ttm,ln_capital,return_12m,return_1m,return_3m,return_6m,std_12m,std_1m,std_3m,std_6m,turn_12m,turn_1m,turn_3m,turn_6m,wgt_return_12m,wgt_return_1m,wgt_return_3m,wgt_return_6m
2017-07-31,0.1837144003208985,0.010429201764941836,0.05495387083834737,0.0008022462896109105,0.0008022462896109105,0.0,0.152426795026073,0.152426795026073,0.0,0.0,0.25792218210990775,0.00040112314480545525,0.06498194945848375,0.05054151624548736,0.06498194945848375,0.07701564380264742,0.1837144003208985,0.1837144003208985,0.1837144003208985,0.0,0.0,0.0,0.056558363417569195,0.0,0.0,0.004412354592860008,0.0,0.012033694344163659,0.023666265543521862,0.0,0.12956277577216205,0.0012033694344163659,0.0012033694344163659,0.0012033694344163659,0.0,0.0,0.0,0.0,0.0,0.012434817488969114,0.00040112314480545525,0.1837144003208985,0.0012033694344163659,0.0012033694344163659,0.0012033694344163659,0.0012033694344163659,0.02527075812274368,0.024067388688327317,0.0008022462896109105,0.0012033694344163659,0.0012033694344163659,0.0012033694344163659,0.0012033694344163659,0.0012033694344163659,0.024067388688327317,0.024067388688327317,0.0,0.15122342559165664,0.010429201764941836,0.036903329322101885,0.07821901323706378,0.0,0.0,0.0,0.0,0.0012033694344163659,0.0012033694344163659,0.0012033694344163659,0.0012033694344163659,0.0012033694344163659,0.0012033694344163659,0.0012033694344163659,0.0012033694344163659
2019-09-30,0.10930911449886474,0.0035679532922478106,0.04703211157963023,0.008433344145313007,0.008433344145313007,0.0019461563412260785,0.04800518975024327,0.04800518975024327,0.0,0.0,0.27116445021083363,0.0,0.14531300681154719,0.10801167693804736,0.14531300681154719,0.15763866363931237,0.10930911449886474,0.09925397340253,0.1083360363282517,0.0,0.0,0.0,0.04930262731106066,0.0022705157314304248,0.0019461563412260785,0.0051897502432695424,0.0,0.012325656827765165,0.026597469996756405,0.0,0.031462860849821604,0.007135906584495621,0.006162828413882582,0.0009730781706130393,0.0,0.001621796951021732,0.0,0.0,0.0,0.012325656827765165,0.0,0.09925397340253,0.0003243593902043464,0.0003243593902043464,0.0003243593902043464,0.0003243593902043464,0.026597469996756405,0.015244891339604282,0.008108984755108661,0.0003243593902043464,0.0003243593902043464,0.0003243593902043464,0.0003243593902043464,0.007460265974699967,0.026597469996756405,0.027570548167369445,0.0,0.04573467401881284,0.0035679532922478106,0.019461563412260786,0.030165423289004217,0.0,0.0,0.0,0.0,0.0003243593902043464,0.0003243593902043464,0.0003243593902043464,0.0003243593902043464,0.0003243593902043464,0.0003243593902043464,0.0003243593902043464,0.0003243593902043464
2019-08-30,0.11436950146627566,0.002932551319648094,0.04626914304333659,0.008145975887911373,0.008145975887911373,0.0006516780710329097,0.04594330400782014,0.04594330400782014,0.0,0.0,0.27174975562072334,0.0,0.14402085369827305,0.10850439882697947,0.14402085369827305,0.15216682958618444,0.11436950146627566,0.11599869664385794,0.11241446725317693,0.0,0.0,0.0,0.0469208211143695,0.0013033561420658195,0.0006516780710329097,0.002932551319648094,0.0,0.008145975887911373,0.02606712284131639,0.0,0.02867383512544803,0.007168458781362007,0.0061909416748126425,0.0,0.0,0.002280873248615184,0.0,0.0,0.0,0.008145975887911373,0.0,0.11599869664385794,0.0,0.0,0.0,0.0,0.02606712284131639,0.01531443466927338,0.008145975887911373,0.0,0.0,0.0,0.0,0.007168458781362007,0.02606712284131639,0.027044639947865753,0.0,0.04431410883023786,0.0035842293906810036,0.018246985988921473,0.028999674160964484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-30,0.09574468085106383,0.0005319148936170213,0.09095744680851064,0.006382978723404255,0.006382978723404255,0.0,0.0047872340425531915,0.0047872340425531915,0.0,0.0,0.24468085106382978,0.0,0.13085106382978723,0.08191489361702127,0.13085106382978723,0.13085106382978723,0.09574468085106383,0.08670212765957447,0.09521276595744681,0.0,0.0,0.0,0.09202127659574467,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.013297872340425532,0.006382978723404255,0.006382978723404255,0.0,0.0,0.0005319148936170213,0.0,0.0,0.0,0.002127659574468085,0.0,0.08670212765957447,0.0,0.0,0.0,0.0,0.02127659574468085,0.02127659574468085,0.006382978723404255,0.0,0.0,0.0,0.0,0.005319148936170213,0.022340425531914895,0.022340425531914895,0.0,0.0026595744680851063,0.0005319148936170213,0.0005319148936170213,0.0005319148936170213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-30,0.2677088422081094,0.009281875915974597,0.12848070346849047,0.011235955056179775,0.011235955056179775,0.00537371763556424,0.10503175378602833,0.10503175378602833,0.0,0.0,0.4152418172936004,0.0004885197850512946,0.05911089399120664,0.04054714215925745,0.05911089399120664,0.07572056668295066,0.2677088422081094,0.26917440156326333,0.26624328285295557,0.0,0.0,0.0,0.14020517830972154,0.00537371763556424,0.00537371763556424,0.004885197850512946,0.0,0.016609672691744015,0.019540791402051783,0.0,0.07327796775769418,0.011235955056179775,0.012212994626282364,0.0,0.0,0.0009770395701025891,0.0,0.0,0.0,0.0180752320468979,0.0004885197850512946,0.26917440156326333,0.0,0.0,0.0,0.0,0.020029311187103077,0.019052271617000488,0.011235955056179775,0.0,0.0,0.0,0.0,0.01172447484123107,0.02149487054225696,0.02051783097215437,0.0,0.10258915486077186,0.009281875915974597,0.019052271617000488,0.04103566194430874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-29,0.14919354838709678,0.0020161290322580645,0.05241935483870968,0.005040322580645161,0.005040322580645161,0.0,0.03293010752688172,0.03293010752688172,0.0,0.0,0.21202956989247312,0.0,0.10215053763440861,0.050739247311827954,0.10215053763440861,0.10954301075268817,0.14919354838709678,0.14952956989247312,0.14717741935483872,0.0,0.0,0.0,0.053763440860215055,0.0,0.0,0.0020161290322580645,0.0,0.00739247311827957,0.025873655913978496,0.0,0.02385752688172043,0.004368279569892473,0.003360215053763441,0.0,0.0,0.0003360215053763441,0.0,0.0,0.0,0.008064516129032258,0.0003360215053763441,0.14952956989247312,0.0,0.0,0.0,0.0,0.025873655913978496,0.018481182795698926,0.003360215053763441,0.0,0.0,0.0,0.0,0.0030241935483870967,0.026545698924731184,0.026881720430107527,0.0,0.03125,0.0020161290322580645,0.008736559139784945,0.01478494623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-29,0.04201216141514649,0.001658374792703151,0.07352128247650636,0.002211166390270868,0.002211166390270868,0.0,0.029850746268656716,0.029850746268656716,0.0,0.0,0.23217247097844113,0.000552791597567717,0.11608623548922056,0.07407407407407407,0.11608623548922056,0.12271973466003316,0.04201216141514649,0.040353786622443336,0.040353786622443336,0.0,0.0,0.0,0.07573244886677723,0.000552791597567717,0.0,0.0,0.0,0.006633499170812604,0.022664455500276397,0.0,0.01990049751243781,0.001105583195135434,0.000552791597567717,0.0,0.0,0.0,0.0,0.0,0.0,0.007186290768380321,0.0,0.040353786622443336,0.0,0.0,0.0,0.0,0.02321724709784411,0.02321724709784411,0.002211166390270868,0.0,0.0,0.0,0.0,0.001105583195135434,0.022664455500276397,0.022664455500276397,0.0,0.029850746268656716,0.001658374792703151,0.01105583195135434,0.01105583195135434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-28,0.047174986286341196,0.0032912781130005485,0.07350521119034559,0.0027427317608337905,0.0027427317608337905,0.0,0.04607789358200768,0.04607789358200768,0.0,0.0,0.24300603400987383,0.0,0.11354909489851893,0.07076247942951179,0.11354909489851893,0.11629182665935271,0.047174986286341196,0.047174986286341196,0.047174986286341196,0.0,0.0,0.0,0.07624794295117937,0.0005485463521667581,0.0,0.0010970927043335162,0.0,0.0027427317608337905,0.021941854086670324,0.0,0.03730115194733955,0.0027427317608337905,0.0016456390565002743,0.0,0.0,0.0,0.0,0.0,0.0,0.004388370817334065,0.0,0.047174986286341196,0.0,0.0,0.0,0.0,0.022490400438837082,0.022490400438837082,0.0027427317608337905,0.0,0.0,0.0,0.0,0.0016456390565002743,0.02303894679100384,0.02303894679100384,0.0,0.04607789358200768,0.0032912781130005485,0.016456390565002744,0.026878771256171146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-31,0.2377237264800367,0.005048187241854061,0.12253327214318495,0.010096374483708122,0.010096374483708122,0.0018357044515832951,0.09086737035337311,0.09086737035337311,0.0,0.0,0.32675539238182655,0.0004589261128958238,0.09316200091785222,0.053694355208811384,0.09316200091785222,0.10142267094997705,0.2377237264800367,0.22762735199632858,0.2354290959155576,0.0,0.0,0.0,0.12299219825608076,0.0013767783386874712,0.0018357044515832951,0.0013767783386874712,0.0,0.008260670032124828,0.017898118402937126,0.0,0.1005048187241854,0.010096374483708122,0.010096374483708122,0.0,0.0,0.0009178522257916476,0.0,0.0,0.0,0.011473152822395595,0.0027535566773749425,0.22762735199632858,0.0,0.0,0.0,0.0,0.018357044515832952,0.018357044515832952,0.010555300596603947,0.0,0.0,0.0,0.0,0.01101422670949977,0.021569527306103717,0.021569527306103717,0.0,0.08857273978889399,0.005507113354749885,0.023405231757687012,0.04497475906379073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-31,0.21354401805869075,0.0018058690744920992,0.05688487584650113,0.009029345372460496,0.009029345372460496,0.0004514672686230248,0.08126410835214447,0.08126410835214447,0.0,0.0,0.3065462753950339,0.0004514672686230248,0.12595936794582394,0.054627539503386,0.12595936794582394,0.12641083521444696,0.21354401805869075,0.2054176072234763,0.21309255079006773,0.0,0.0,0.0,0.057787810383747175,0.0004514672686230248,0.0004514672686230248,0.0,0.0,0.0004514672686230248,0.01805869074492099,0.0,0.06501128668171557,0.009932279909706547,0.009932279909706547,0.0,0.0,0.0,0.0,0.0,0.0,0.0018058690744920992,0.0013544018058690745,0.2054176072234763,0.0,0.0,0.0,0.0,0.01805869074492099,0.01805869074492099,0.009932279909706547,0.0,0.0,0.0,0.0,0.009932279909706547,0.02076749435665914,0.019413092550790066,0.0,0.07900677200902935,0.0018058690744920992,0.011738148984198645,0.03747178329571106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-30,0.04028697571743929,0.004966887417218543,0.0739514348785872,0.002207505518763797,0.002207505518763797,0.002207505518763797,0.0336644591611479,0.0336644591611479,0.0,0.0,0.2378587196467991,0.0005518763796909492,0.1153421633554084,0.07560706401766004,0.1153421633554084,0.12693156732891833,0.04028697571743929,0.03642384105960265,0.04028697571743929,0.0,0.0,0.0,0.07560706401766004,0.0027593818984547464,0.002207505518763797,0.004415011037527594,0.0,0.011589403973509934,0.02207505518763797,0.0,0.024834437086092714,0.0011037527593818985,0.0005518763796909492,0.0,0.0,0.0,0.0,0.0,0.0,0.012141280353200883,0.0,0.03642384105960265,0.0,0.0,0.0,0.0,0.02262693156732892,0.02262693156732892,0.002207505518763797,0.0,0.0,0.0,0.0,0.0011037527593818985,0.02207505518763797,0.02207505518763797,0.0,0.0336644591611479,0.004966887417218543,0.013245033112582781,0.016004415011037526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-31,0.13534675615212527,0.0,0.06040268456375839,0.002796420581655481,0.002796420581655481,0.0,0.10794183445190157,0.10794183445190157,0.0,0.0,0.27348993288590606,0.0,0.11521252796420582,0.06879194630872483,0.11521252796420582,0.13982102908277405,0.13534675615212527,0.13534675615212527,0.13534675615212527,0.0,0.0,0.0,0.06096196868008948,0.0005592841163310962,0.0,0.0,0.0,0.024608501118568233,0.025167785234899327,0.0,0.06152125279642058,0.003355704697986577,0.003355704697986577,0.0,0.0,0.0,0.0,0.0,0.0,0.024608501118568233,0.0,0.13534675615212527,0.0,0.0,0.0,0.0,0.025167785234899327,0.025167785234899327,0.003355704697986577,0.0,0.0,0.0,0.0,0.0039149888143176735,0.025167785234899327,0.025727069351230425,0.0,0.10682326621923938,0.0,0.02181208053691275,0.06487695749440715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
