,net_value,netval_pctchg,benchmark_nv,benchmark_pctchg
2017-02-22,224861058.6932793,0.003373582159971189,1.5773032832342664,0.001990827555692576
2017-02-23,224295188.78571635,-0.002516531367642516,1.5698758363341097,-0.0047089529192678725
2017-02-24,224414635.8582868,0.0005325440693448869,1.570114527433657,0.00015204457194828436
2017-02-27,222902033.53141809,-0.006740212469136364,1.5576267930646246,-0.007953390756433198
2017-02-28,223171650.35382113,0.0012095754270677883,1.5606042170719503,0.0019115130919566958
2017-03-01,223950405.22363946,0.0034894883314420255,1.563147649044083,0.0016297738685500107
2017-03-02,222315368.48377177,-0.007300887614982932,1.5525978278703159,-0.006749088085324928
2017-03-03,222100217.91962275,-0.000967771889169855,1.5493284242184007,-0.0021057633813643672
2017-03-06,223492094.36588457,0.006266884649188231,1.5577448504689073,0.005432306100465745
2017-03-07,224281945.24497488,0.0035341334168055294,1.561122277549703,0.0021681516583276217
2017-03-08,223772155.7205324,-0.002272985120963078,1.5587605870869967,-0.001512815809926793
2017-03-09,222083338.9807156,-0.007547037004576818,1.5489130537952154,-0.006317540598190452
2017-03-10,222180257.04781383,0.00043640404337863536,1.5493414412675712,0.0002765729627665081
2017-03-13,224399864.64010793,0.009990120732538577,1.5629941563392802,0.008811947262276298
2017-03-14,223825454.5399466,-0.0025597613487092774,1.5623593040036916,-0.00040617703720369214
2017-03-15,224013692.39756677,0.0008410029056216128,1.5655006614740088,0.002010649830846978
2017-03-16,225713111.49068102,0.007586228658283289,1.5735743958258661,0.005157285813124801
2017-03-17,223593743.35524583,-0.009389654510711498,1.5574380006535642,-0.010254612184276812
2017-03-20,224108083.71195787,0.002300334298240392,1.5591589178312328,0.0011049667318676626
2017-03-21,224953768.36259612,0.0037735571008012947,1.5667224561725444,0.004851037475918307
2017-03-22,223881161.33983526,-0.00476812204822441,1.5593567046616854,-0.004701376100048504
2017-03-23,224452191.95177326,0.0025505969708241594,1.564747932526487,0.003457340997530922
2017-03-24,226990375.93509567,0.011308350171370884,1.5772323222370521,0.007978530887340796
2017-03-27,226119294.0529056,-0.0038375278185325268,1.5720068809568253,-0.0033130447598330726
2017-03-28,225642975.2122736,-0.002106493577326285,1.568287439948691,-0.002366046264295263
2017-03-29,225297150.9632253,-0.001532616952612642,1.5662010962344115,-0.0013303324767733882
2017-03-30,223283881.44053864,-0.008936062946554024,1.5533488844886039,-0.008205978004170666
2017-03-31,224520413.81951132,0.005537938390335562,1.5620664655954417,0.0056121204926269375
2017-04-05,236995013.66282713,0.05556109411656429,1.5836927108592471,0.013844638330137826
2017-04-06,238253437.54556435,0.00530991712984985,1.5882819890593507,0.0028978337581748725
2017-04-07,238718576.2716499,0.0019522854775038123,1.5898261817152946,0.0009722408656527293
2017-04-10,237198278.5051181,-0.006368577553854782,1.5842558790282228,-0.003503718048637139
2017-04-11,237100265.98998845,-0.0004132092178212865,1.5897649835049579,0.003477408258137027
2017-04-12,236120460.28579575,-0.004132452994523694,1.5861991707958885,-0.0022429810356042745
2017-04-13,238113170.5725594,0.008439379985756945,1.5885167027272074,0.0014610598555262477
2017-04-14,235911124.9561011,-0.009247895070916612,1.5758333510359175,-0.007984399326437575
2017-04-17,236204620.31439668,0.0012440929114734267,1.5728670909561788,-0.0018823437629293949
2017-04-18,237920398.09603876,0.007263946739730631,1.5650935623008175,-0.004942266705215137
2017-04-19,238087530.80009735,0.0007024732027858249,1.5574700912956165,-0.004870936274246729
2017-04-20,241454950.2065358,0.01414361934504571,1.5645535355525895,0.00454804512559237
2017-04-21,239626105.62348935,-0.007574268332382839,1.5669211921628323,0.0015133113418241972
2017-04-24,236527238.85308015,-0.012932091694876746,1.5508633060683403,-0.010248049598670095
2017-04-25,238798133.13877538,0.009600984210980545,1.5552545714475545,0.002831497374418346
2017-04-26,238285785.5259564,-0.002145526039440404,1.5571569137480377,0.0012231710071184398
2017-04-27,238049126.36335254,-0.0009931736468522523,1.557851608351341,0.0004461301216145408
2017-04-28,235477486.51774392,-0.010802979556763126,1.554702567206166,-0.002021399938410995
2017-05-02,233067324.57579154,-0.010235211771596586,1.5487470864182908,-0.0038306238849128427
2017-05-03,232424181.79509312,-0.0027594721047620174,1.5426686668326943,-0.003924733508073097
2017-05-04,232140459.06824765,-0.0012207108772167574,1.5387175404285591,-0.002561228142558547
2017-05-05,230936279.19451106,-0.005187289964747488,1.5288479956682153,-0.006414136773663537
2017-05-08,229654237.26327038,-0.005551496437512293,1.5181190092760033,-0.007017693336820341
2017-05-09,229802665.9487407,0.0006463137246632833,1.5152805241893383,-0.0018697381887199382
2017-05-10,230169949.4087021,0.001598255870727483,1.5085768794607686,-0.004424028832652027
2017-05-11,231685712.2152643,0.006585407045776925,1.5171397475144441,0.005676123086770568
2017-05-12,233309239.1527335,0.007007453856113344,1.53012642357026,0.0085599735140367
2017-05-15,234753657.0764598,0.006191001817895003,1.5363705393442568,0.004080784226591749
2017-05-16,237173887.18247992,0.010309658797911014,1.549683816779609,0.008665407917177514
2017-05-17,235497580.3542178,-0.007067838909990853,1.5412392321206534,-0.005449230718885811
2017-05-18,235017481.13756815,-0.0020386588088401325,1.5358819480194876,-0.0034759588190566015
2017-05-19,235656993.4324879,0.0027211264958857395,1.5384747363030584,0.0016881429506441226
2017-05-22,237041137.2622581,0.005873552953423067,1.541814648971314,0.002170924610878755
2017-05-23,238261021.46591115,0.005146297464407645,1.5476701967879525,0.0037978286304032327
2017-05-24,238042204.70287836,-0.0009183909381673683,1.547657948106268,-7.914271212272617e-06
2017-05-25,241370979.9606436,0.013983970875753648,1.5754507944241831,0.01795800315691376
2017-05-26,240998982.5729563,-0.0015411852234595846,1.5730898271308749,-0.0014985979261707971
2017-05-31,241673708.35827115,0.0027997038747273884,1.5787169890118928,0.0035771395784061077
2017-06-01,244093238.7272467,0.010011558085535333,1.5809107685799166,0.0013895964782115744
2017-06-02,242964546.37335488,-0.004624021377146903,1.575834661780452,-0.003210874959137855
2017-06-05,241809892.40799463,-0.004752355776163064,1.567810374136208,-0.0050920872848283505
2017-06-06,243605012.1187275,0.0074236818554307415,1.5787156782673584,0.00695575454216435
2017-06-07,246874113.2816947,0.013419679400413553,1.597242464687864,0.011735353411349347
2017-06-08,249392202.04622754,0.010199889859086042,1.609494219842593,0.007670566883609231
2017-06-09,251343271.2793261,0.007823296867706109,1.6163605776857946,0.004266158746362603
2017-06-12,250964010.02346236,-0.0015089373745050816,1.6155556449473283,-0.0004979908255487997
2017-06-13,251013172.9099859,0.0001958961626367106,1.6191163502725219,0.0022040128028582018
2017-06-14,248135484.1526396,-0.011464293781817791,1.5978873961969424,-0.013111444444376286
2017-06-15,247552314.46032113,-0.0023502067602703125,1.5949467634327585,-0.0018403254016413628
2017-06-16,247243418.37901652,-0.0012478012252804538,1.590412717295455,-0.002842757038200472
2017-06-19,249581539.59284246,0.0094567581582361,1.6061887481169346,0.00991945716348841
2017-06-20,248958561.95427758,-0.002496088611285807,1.602947457675381,-0.002018000963680988
2017-06-21,252653295.06153193,0.014840755337962364,1.6216870366913552,0.011690700731482817
2017-06-22,252842349.24229506,0.0007482751440748281,1.6227661410279761,0.0006654208316436705
2017-06-23,255152535.83258837,0.0091368657078863,1.637473869855723,0.009063369302510837
2017-06-26,257983909.0179232,0.01109678638346967,1.6579073827911897,0.012478680308509071
2017-06-27,258053347.8116018,0.0002691593981303253,1.660900987713804,0.001805652688254611
2017-06-28,256406364.46837217,-0.006382336664866872,1.6479975665349744,-0.007768928596153524
2017-06-29,258094522.84729692,0.006583917612283052,1.658240040714437,0.0062151027328263275
2017-06-30,257971041.9230401,-0.00047843295120941765,1.6573224291440882,-0.0005533647408209053
2017-07-03,260858243.12447223,0.011191958523365964,1.6501127014309263,-0.004350226356910736
2017-07-04,257846206.82152575,-0.011546640301143385,1.6361635773020629,-0.008453437220843907
2017-07-05,260685594.9770935,0.011011944641609928,1.6541051388869428,0.010965628274444583
2017-07-06,260674044.563773,-4.4307831130852016e-05,1.6542937053075661,0.00011399905374220864
2017-07-07,260053625.77275813,-0.0023800558741976507,1.6524101202133528,-0.00113860379699815
2017-07-10,259876262.9388884,-0.000682024076160026,1.6513965531034587,-0.000613387135248944
2017-07-11,262751698.5706967,0.011064633604048968,1.659135279231524,0.004686170692025371
2017-07-12,261737985.9190849,-0.003858063171907733,1.6537182884569055,-0.003264948218765773
2017-07-13,264433131.96905887,0.010297114652693784,1.6664175498749594,0.007679216893648588
2017-07-14,266085112.89946225,0.006247253958315158,1.6737276625402318,0.0043867232830216984
2017-07-17,263163232.80827776,-0.010980997994760044,1.6558579207162267,-0.010676612583963574
2017-07-18,262981792.11810172,-0.0006894606371864453,1.6574955378188214,0.0009889840680814554
2017-07-19,267763116.90234965,0.018181200857056767,1.6857741279820002,0.01706103547065463
2017-07-20,268724521.9595778,0.0035905059231096104,1.693972021479939,0.004862984525543901
2017-07-21,268076997.7354733,-0.0024096208986907897,1.6852548019578002,-0.0051460233177422765
2017-07-24,269409691.6908307,0.004971310357155145,1.6919762095347173,0.003988362809652646
2017-07-25,267747144.61123437,-0.00617107376190551,1.6811695276302687,-0.006387017644544968
2017-07-26,265414139.24426034,-0.0087134649759254,1.6747646874574853,-0.0038097527153085897
2017-07-27,265201102.8327921,-0.0008026566032798277,1.6778410048800374,0.0018368654686780062
2017-07-28,265795981.4980476,0.002243122893913929,1.6822237278207335,0.0026121205334408426
2017-07-31,266832256.78466102,0.0038987620534098877,1.6894471957524644,0.004293999550873506
2017-08-01,272497688.3819176,0.02123218409020433,1.704140913173118,0.008697352280435888
2017-08-02,272336203.59019494,-0.0005926097673765174,1.6998333998498518,-0.0025276743783151367
2017-08-03,269289254.77033013,-0.0111881886421894,1.684906234307789,-0.008781546205281932
2017-08-04,268380687.16694626,-0.0033739467404994006,1.6757550679485447,-0.005431261498657691
2017-08-07,269713438.1366715,0.004965897448858447,1.6844399708381939,0.005182680366457859
2017-08-08,269936912.96539605,0.0008285639390772648,1.6868888484114906,0.0014538230009337738
2017-08-09,269871028.03573245,-0.00024407528759151642,1.6863605279678984,-0.00031319220830094974
2017-08-10,268994278.198656,-0.0032487734732323803,1.6795251308145642,-0.0040533427105121644
2017-08-11,264371673.10769144,-0.017184771073646132,1.6485325762955014,-0.018453165094369006
2017-08-14,267342722.42060813,0.011238153006303486,1.669926096607296,0.012977311227824861
2017-08-15,268664413.1521922,0.0049438066599196695,1.6750667010774771,0.003078342497087272
2017-08-16,268096846.71998373,-0.0021125478642641804,1.6729713629438057,-0.0012508983268091356
2017-08-17,269226959.69051844,0.004215316160413707,1.6819460307717617,0.00536450774158137
2017-08-18,268502574.9785962,-0.0026906098585183225,1.6834817713853618,0.000913073657241803
2017-08-21,269700751.94231063,0.00446244124031181,1.6908577828620601,0.004381402639500154
2017-08-22,270566975.570178,0.0032117953755377293,1.6959669294634125,0.0030216299993630624
2017-08-23,271468060.585523,0.0033303584572585976,1.6976801177681364,0.0010101543107718935
2017-08-24,270115681.79896414,-0.004981723388165604,1.6879884726797898,-0.0057087580792828385
2017-08-25,275373083.45763695,0.019463518828890747,1.7156083911153213,0.016362622661565407
2017-08-28,279779247.6049668,0.016000707447529905,1.7368322830051122,0.012371058570069815
2017-08-29,280241268.75846654,0.0016513774965614125,1.7331376557469593,-0.0021272216634298236
2017-08-30,279666912.1875502,-0.0020495074599857777,1.7330304910817391,-6.183274875182221e-05
2017-08-31,278704990.7357938,-0.003439525413400646,1.727512844166486,-0.003183814101163973
2017-09-01,275068603.62981987,-0.013047441656404257,1.7313300486376617,0.0022096533082609504
2017-09-04,277131416.6878472,0.007499267567459,1.7381450162554921,0.003936261386552342
2017-09-05,277522009.56620127,0.0014094139272344819,1.7433112028431403,0.0029722414064032865
2017-09-06,276640101.610847,-0.0031777946431448267,1.7398777301339716,-0.0019695122153572386
2017-09-07,274497103.2588419,-0.0077465209834968185,1.7310285773947187,-0.005086077363937291
2017-09-08,274177431.79603493,-0.0011645713525271217,1.7292740780381137,-0.0010135588629308634
2017-09-11,274056580.27997977,-0.00044077849611290354,1.7291185062212906,-8.996365515390181e-05
2017-09-12,274283316.19370925,0.0008273324927934311,1.7346728087854233,0.0032122162501577733
2017-09-13,275260839.021461,0.0035639164689893477,1.7367844634286453,0.0012173215793360725
2017-09-14,273939614.2383545,-0.004799901024073683,1.7310665889862202,-0.003292218788701784
2017-09-15,274208425.3617187,0.0009812787541210177,1.7316727405363113,0.0003501607355531622
2017-09-18,275584089.8183527,0.005016856994161545,1.737027041563709,0.0030919820483745752
2017-09-19,274108185.55208963,-0.005355549615494448,1.7320431840606232,-0.0028691882071100183
2017-09-20,275033981.07025963,0.0033774822021652717,1.73670726509537,0.002692820293205722
2017-09-21,274904798.1358108,-0.00046969808583707806,1.734620153013605,-0.001201763891769403
2017-09-22,275108937.26271,0.0007425811709489416,1.734580740281394,-2.272124657520802e-05
2017-09-25,274455665.69080406,-0.002374592328427627,1.7255687388332472,-0.005195492627621756
2017-09-26,273832489.7726405,-0.002270588645328253,1.7269202068445269,0.0007832014922763975
2017-09-27,273568285.2731997,-0.0009648398539567893,1.727109315642199,0.0001095063900014015
2017-09-28,273636796.7877676,0.0002504366121953705,1.7277143372401051,0.0003503088035172741
2017-09-29,275099251.4893655,0.005344510382981227,1.7340252105891885,0.003652729628420115
2017-10-09,279698723.0757323,0.016719316979110665,1.754683584009459,0.011913536950971526
2017-10-10,279686504.6799322,-4.368413150324102e-05,1.7581439947787167,0.001972099585812792
2017-10-11,281628951.74880296,0.006945086861068539,1.7639397907238155,0.0032965422413129275
2017-10-12,282895646.8231967,0.004497744519972313,1.768580187960766,0.00263070047025038
2017-10-13,283120494.803714,0.0007948089093707811,1.772217775232623,0.00205678390870756
2017-10-16,283901623.6365596,0.0027589978372537516,1.7688028337392874,-0.0019269310696803377
2017-10-17,284455398.1696619,0.001950586002323007,1.7686322561574483,-9.643674161152749e-05
2017-10-18,287319352.2146216,0.010068200721054854,1.7826860590567248,0.007946141912966054
2017-10-19,287480546.5502372,0.0005610284666630605,1.776849584832968,-0.0032739775991994513
2017-10-20,286307424.072265,-0.004080702127672975,1.7748619989396526,-0.0011186010961654613
2017-10-23,286853189.3707398,0.0019062212593448091,1.7766455606664546,0.001004901636221689
2017-10-24,288941161.24653083,0.0072788867377466815,1.7895709481157596,0.0072751637892571885
2017-10-25,290192498.0088613,0.0043307667101912806,1.7975048847832955,0.004433429518896359
2017-10-26,289696078.08326656,-0.0017106573360817778,1.8050196091902175,0.004180641994654621
2017-10-27,291978244.1858533,0.00787779426523949,1.8178524309565314,0.007109519309915324
2017-10-30,291126950.2693953,-0.002915607355718386,1.8123175635699798,-0.0030447286547011787
2017-10-31,291312740.978648,0.0006381776372155201,1.8109598582226394,-0.0007491542181304878
2017-11-01,293050564.10722494,0.0059654896065952645,1.806396749715139,-0.0025197181962822723
2017-11-02,294240848.5971865,0.004061703459222965,1.8066282543187901,0.00012815822641831787
2017-11-03,293571079.0202697,-0.002276263068537121,1.804623086369477,-0.0011098951566376192
2017-11-06,294929887.4472493,0.004628550031271272,1.817365195574384,0.0070608146937438665
2017-11-07,297136654.3734198,0.007482344177699662,1.8324418763895587,0.008295900489284858
2017-11-08,296154980.0731853,-0.0033037805527714736,1.8296211541512408,-0.0015393242616107417
2017-11-09,298231245.51618505,0.007010739588058312,1.8422287538480522,0.006890825277247048
2017-11-10,301478527.85917187,0.010888471251113696,1.8585052178931993,0.00883520247480063
2017-11-13,302389844.20331115,0.003022823385169904,1.8658101779765086,0.003930556671554619
2017-11-14,299762752.1950569,-0.00868776534203941,1.8528282477198692,-0.006957797963519807
2017-11-15,297297627.33931756,-0.008223586278442219,1.8412207461029078,-0.006264747761291933
2017-11-16,299363579.63083583,0.006949104538800599,1.8553870018436298,0.007693947491470565
2017-11-17,301448394.6066496,0.00696415702399289,1.8625457461142074,0.0038583563771139584
2017-11-20,305159067.90319455,0.012309481035342351,1.872933441748479,0.005577149262477654
2017-11-21,309830601.99311197,0.0153085212968318,1.9063204101455242,0.017826030361162593
2017-11-22,310506518.724113,0.002181568659302524,1.9107792466653981,0.0023389753874236696
2017-11-23,299590171.28178614,-0.035156580567720974,1.8542048006696548,-0.029608049226238164
2017-11-24,300038682.5788831,0.0014970828154274862,1.8550214397127571,0.00044042548202205545
2017-11-27,295918762.1550072,-0.013731297539585574,1.83049881061233,-0.013219593356411208
2017-11-28,295528095.6428893,-0.0013201816244190478,1.8331546502278209,0.0014508830052735178
2017-11-29,294414642.9888654,-0.0037676710622106535,1.8322187786301634,-0.0005105251744805805
2017-11-30,291003442.615854,-0.01158638150053004,1.8106802628539969,-0.011755427914710848
2017-12-01,296140279.0477924,0.01765215004249754,1.8070812295506902,-0.0019876691523846857
2017-12-04,297763581.73331434,0.005481532909813902,1.8164465444480251,0.005182564427202552
2017-12-05,299421933.2682954,0.005569356485194188,1.826079748409366,0.005303323673787608
2017-12-06,297368457.2325358,-0.006858134984786268,1.8150743305146297,-0.00602680025575153
2017-12-07,293637141.0151959,-0.012547787522810716,1.7948417682757336,-0.011146960704997433
2017-12-08,296536677.6691556,0.009874556889959862,1.809450829678691,0.008139470376261615
2017-12-11,301990607.8868265,0.018392093216056837,1.8393360310565097,0.016516172137778007
2017-12-12,297377467.3676557,-0.015275774804558218,1.81516255718123,-0.013142500047364614
2017-12-13,300317784.0022731,0.009887489663035653,1.8305644382352315,0.00848512492342235
2017-12-14,298217491.2574672,-0.0069935676696055715,1.8197435189332527,-0.005911247414164156
2017-12-15,294901772.03070796,-0.01111845992928906,1.79927068366175,-0.011250396035757837
2017-12-18,294859750.31759846,-0.00014249393220033824,1.801275490026364,0.0011142327737669877
2017-12-19,299131456.58627814,0.014487247798584013,1.8238917089984419,0.012555669078552212
2017-12-20,298441964.9605804,-0.002304978665788937,1.821704302360741,-0.0011993072981849595
2017-12-21,301477868.551214,0.01017250905392797,1.8385897202373984,0.009269022340659516
2017-12-22,300671958.1967127,-0.002673199058936593,1.8326009284591112,-0.003257274699389745
2017-12-25,299119962.94252133,-0.005161755900016329,1.826698826612453,-0.003220614894930085
2017-12-26,299849127.8732196,0.0024377006587099626,1.8321597951261095,0.0029895286700236667
2017-12-27,294087379.4429778,-0.019215491707809673,1.8039494540749013,-0.015397314757289782
2017-12-28,296050934.5172318,0.006676774358604476,1.8164647592772463,0.006937724986736393
2017-12-29,296374544.39280987,0.0010930885123052736,1.8218693205778302,0.002975318553790407
2018-01-02,301057901.3812915,0.015802156686825386,1.8474271666720148,0.014028364057460774
2018-01-03,302589935.2229244,0.005088834521876917,1.8582707754138674,0.005869573067601053
2018-01-04,304532742.8088921,0.006420595531494877,1.866144011050028,0.004236861355367827
2018-01-05,304591836.0799037,0.00019404570578052116,1.8706360681641394,0.002407133151306917
2018-01-08,306508137.1330932,0.0062913736554868205,1.8803125266951202,0.005172817254869511
2018-01-09,308361634.83441323,0.00604714027711184,1.8934824357972466,0.007004106453130099
2018-01-10,311338254.9301816,0.009653016975885498,1.901851087669374,0.004419714550245368
2018-01-11,310966799.28960353,-0.0011930934753308087,1.900844571461114,-0.0005292297671388724
2018-01-12,312694228.53239334,0.005555027889588393,1.909619644535122,0.004616407467372685
